time_seconds,channel_1,channel_2,channel_3
0.876,278206,-151084,-429290
0.881,278213,-151213,-429426
0.886,278356,-150846,-429202
0.891,278256,-150884,-429140
0.896,277985,-151482,-429467
0.901,278009,-151607,-429616
0.906,278172,-151163,-429335
0.911,278109,-151087,-429196
0.917,277904,-151537,-429441
0.921,277937,-151619,-429556
0.926,278142,-151150,-429292
0.931,278135,-151007,-429142
0.936,277953,-151445,-429398
0.941,277960,-151582,-429542
0.946,278127,-151160,-429287
0.951,278117,-151095,-429212
0.956,278001,-151632,-429633
0.961,278253,-151755,-430008
0.966,278815,-150860,-429675
0.971,279174,-149579,-428753
0.976,279062,-148274,-427336
0.981,278416,-145973,-424389
0.986,277426,-142729,-420155
0.991,276053,-140934,-416987
0.996,274516,-142432,-416948
1.001,273506,-145407,-418913
1.006,272977,-147846,-420823
1.011,273202,-150027,-423229
1.016,274567,-151398,-425965
1.021,276014,-151677,-427691
1.026,277106,-151298,-428404
1.033,277691,-151196,-428887
1.034,277691,-151196,-428887
1.036,277903,-151588,-429491
1.043,278150,-151622,-429772
1.044,278150,-151622,-429772
1.046,278480,-151157,-429637
1.051,278553,-151058,-429611
1.056,278439,-151527,-429966
1.061,278511,-151602,-430113
1.066,278738,-151137,-429875
1.071,278752,-151033,-429785
1.076,278639,-151431,-430070
1.081,278699,-151500,-430199
1.086,278879,-151025,-429904
1.091,278927,-150878,-429805
1.096,278801,-151270,-430071
1.101,278876,-151336,-430212
1.106,279151,-150866,-430017
1.111,279196,-150705,-429901
1.116,279044,-151110,-430154
1.121,279098,-151175,-430273
1.126,279369,-150631,-430000
1.131,279484,-150410,-429894
1.136,279391,-150791,-430182
1.141,279495,-150840,-430335
1.146,279814,-150298,-430112
1.151,279920,-150087,-430007
1.156,279860,-150451,-430311
1.161,279979,-150519,-430498
1.166,280327,-149956,-430283
1.171,280503,-149668,-430171
1.176,280464,-149985,-430449
1.181,280618,-149978,-430596
1.186,280967,-149417,-430384
1.191,281127,-149146,-430273
1.196,281091,-149431,-430522
1.201,281200,-149399,-430599
1.206,281463,-148840,-430303
1.211,281472,-148656,-430128
1.216,281282,-149019,-430301
1.221,281268,-149098,-430366
1.228,281413,-148621,-430034
1.229,281413,-148621,-430034
1.231,281347,-148475,-429822
1.236,281083,-148900,-429983
1.241,280968,-149056,-430024
1.246,280983,-148749,-429732
1.251,280808,-148791,-429599
1.256,280385,-149448,-429833
1.261,280129,-149773,-429902
1.266,280081,-149522,-429603
1.271,279883,-149575,-429458
1.276,279507,-150190,-429697
1.281,279344,-150470,-429814
1.286,279334,-150233,-429567
1.291,279150,-150270,-429420
1.296,278851,-150799,-429650
1.301,278768,-151017,-429785
1.306,278874,-150681,-429555
1.311,278835,-150599,-429434
1.316,278640,-151046,-429686
1.321,278647,-151146,-429793
1.326,278859,-150668,-429527
1.331,278850,-150558,-429408
1.336,278626,-151052,-429678
1.341,278619,-151216,-429835
1.346,278830,-150767,-429597
1.351,278819,-150635,-429454
1.356,278634,-151032,-429666
1.361,278659,-151133,-429792
1.368,278871,-150677,-429548
1.368,278871,-150677,-429548
1.371,278902,-150520,-429422
1.378,278718,-150930,-429648
1.378,278718,-150930,-429648
1.383,278729,-151043,-429772
1.383,278729,-151043,-429772
1.388,278905,-150607,-429512
1.388,278905,-150607,-429512
1.391,278883,-150472,-429355
1.398,278719,-150877,-429596
1.398,278719,-150877,-429596
1.401,278728,-151017,-429745
1.406,278917,-150598,-429515
1.411,278902,-150491,-429393
1.417,278668,-150956,-429624
1.421,278603,-151138,-429741
1.426,278751,-150719,-429470
1.431,278747,-150568,-429315
1.436,278555,-151006,-429561
1.441,278525,-151178,-429703
1.446,278694,-150760,-429454
1.451,278688,-150631,-429319
1.456,278462,-151077,-429539
1.461,278430,-151212,-429642
1.466,278649,-150756,-429405
1.471,278657,-150619,-429276
1.476,278408,-151110,-429518
1.481,278350,-151300,-429650
1.486,278524,-150849,-429373
1.491,278575,-150642,-429217
1.496,278414,-151072,-429486
1.501,278370,-151286,-429656
1.506,278536,-150860,-429396
1.511,278552,-150692,-429244
1.516,278383,-151107,-429490
1.521,278379,-151263,-429642
1.526,278551,-150859,-429410
1.531,278604,-150671,-429275
1.536,278476,-151052,-429528
1.541,278514,-151179,-429693
1.546,278673,-150778,-429451
1.551,278629,-150647,-429276
1.556,278415,-151066,-429481
1.561,278436,-151207,-429643
1.566,278609,-150800,-429409
1.571,278653,-150602,-429255
1.576,278495,-151004,-429499
1.581,278475,-151164,-429639
1.589,278665,-150723,-429388
1.589,278665,-150723,-429388
1.591,278654,-150578,-429232
1.596,278472,-151005,-429477
1.601,278467,-151157,-429624
1.606,278672,-150682,-429354
1.611,278719,-150485,-429204
1.616,278534,-150930,-429464
1.621,278509,-151093,-429602
1.626,278716,-150637,-429353
1.631,278772,-150440,-429212
1.636,278612,-150847,-429459
1.641,278610,-151001,-429611
1.646,278800,-150559,-429359
1.651,278840,-150360,-429200
1.656,278648,-150787,-429435
1.661,278593,-151029,-429622
1.666,278742,-150626,-429368
1.671,278808,-150401,-429209
1.676,278657,-150801,-429458
1.681,278661,-150969,-429630
1.686,278873,-150551,-429424
1.691,278904,-150377,-429281
1.696,278693,-150825,-429518
1.701,278588,-151069,-429657
1.706,278726,-150678,-429404
1.711,278753,-150478,-429231
1.719,278567,-150880,-429447
1.719,278567,-150880,-429447
1.721,278562,-151048,-429610
1.726,278760,-150614,-429374
1.733,278765,-150442,-429207
1.734,278765,-150442,-429207
1.738,278591,-150829,-429420
1.738,278591,-150829,-429420
1.744,278636,-150945,-429581
1.744,278636,-150945,-429581
1.748,278838,-150515,-429353
1.748,278838,-150515,-429353
1.751,278836,-150316,-429152
1.756,278697,-150674,-429371
1.761,278728,-150794,-429522
1.766,278919,-150321,-429240
1.771,278996,-150009,-429005
1.776,279013,-150133,-429146
1.781,279227,-150035,-429262
1.786,279435,-149589,-429024
1.791,279306,-149526,-428832
1.796,278998,-150084,-429082
1.801,278913,-150377,-429290
1.806,279079,-150052,-429131
1.811,279137,-149966,-429103
1.816,278956,-150436,-429392
1.821,278942,-150600,-429542
1.827,279107,-150243,-429350
1.831,279011,-150209,-429220
1.836,278736,-150759,-429495
1.841,278651,-151016,-429667
1.846,278794,-150657,-429451
1.852,278774,-150503,-429277
1.856,278562,-150929,-429491
1.861,278566,-151103,-429669
1.866,278799,-150617,-429416
1.871,278844,-150392,-429236
1.876,278650,-150819,-429469
1.881,278653,-150984,-429637
1.886,278871,-150536,-429407
1.891,278868,-150400,-429268
1.896,278739,-150920,-429659
1.901,278978,-151138,-430116
1.906,279600,-150250,-429850
1.911,279975,-148870,-428845
1.916,279772,-147650,-427422
1.921,279082,-145506,-424588
1.926,278078,-142285,-420363
1.931,276739,-140342,-417081
1.936,275292,-141545,-416837
1.941,274385,-144347,-418732
1.946,273921,-146642,-420563
1.951,274163,-148629,-422792
1.956,275537,-150023,-425560
1.961,276951,-150527,-427478
1.966,277981,-150292,-428273
1.971,278579,-150146,-428725
1.976,278802,-150560,-429362
1.981,278981,-150775,-429756
1.986,279288,-150366,-429654
1.991,279454,-150120,-429574
1.996,279415,-150453,-429868
2.001,279482,-150637,-430119
2.006,279692,-150214,-429906
2.011,279758,-149989,-429747
2.016,279635,-150370,-430005
2.021,279643,-150539,-430182
2.026,279837,-150100,-429937
2.031,279930,-149840,-429770
2.036,279840,-150204,-430044
2.041,279870,-150353,-430223
2.046,280130,-149900,-430030
2.051,280221,-149666,-429887
2.056,280088,-150005,-430093
2.061,280143,-150142,-430285
2.066,280435,-149645,-430080
2.071,280537,-149374,-429911
2.076,280419,-149723,-430142
2.081,280511,-149845,-430356
2.086,280849,-149337,-430186
2.091,280995,-149056,-430051
2.098,280933,-149378,-430311
2.099,280933,-149378,-430311
2.101,281066,-149478,-430544
2.109,281408,-148966,-430374
2.109,281408,-148966,-430374
2.111,281603,-148637,-430240
2.116,281619,-148911,-430530
2.121,281751,-148996,-430747
2.126,282142,-148413,-430555
2.131,282381,-147997,-430378
2.136,282338,-148250,-430588
2.141,282401,-148314,-430715
2.146,282716,-147742,-430458
2.151,282809,-147410,-430219
2.156,282616,-147748,-430364
2.161,282614,-147882,-430496
2.166,282778,-147455,-430233
2.171,282715,-147266,-429981
2.176,282436,-147673,-430109
2.181,282293,-147903,-430196
2.186,282328,-147577,-429905
2.192,282126,-147511,-429637
2.196,281726,-148071,-429797
2.201,281494,-148423,-429917
2.206,281437,-148210,-429647
2.211,281180,-148233,-429413
2.216,280762,-148826,-429588
2.221,280575,-149178,-429753
2.226,280589,-148936,-429525
2.231,280507,-148806,-429313
2.236,280265,-149258,-429523
2.241,280170,-149543,-429713
2.246,280238,-149269,-429507
2.251,280190,-149149,-429339
2.256,280023,-149533,-429556
2.261,280020,-149709,-429729
2.266,280167,-149352,-429519
2.271,280213,-149145,-429358
2.276,280107,-149493,-429600
2.281,280088,-149678,-429766
2.286,280249,-149280,-429529
2.291,280307,-149030,-429337
2.296,280152,-149412,-429564
2.301,280073,-149669,-429742
2.306,280223,-149281,-429504
2.311,280237,-149099,-429336
2.319,280037,-149481,-429518
2.319,280037,-149481,-429518
2.321,280008,-149646,-429654
2.328,280220,-149181,-429401
2.329,280220,-149181,-429401
2.331,280310,-148902,-429212
2.336,280150,-149294,-429444
2.341,280123,-149508,-429631
2.346,280264,-149159,-429423
2.351,280273,-148981,-429254
2.356,280107,-149377,-429484
2.361,280067,-149588,-429655
2.366,280238,-149220,-429458
2.371,280265,-148993,-429258
2.376,280047,-149406,-429453
2.381,279995,-149623,-429618
2.386,280186,-149217,-429403
2.391,280222,-149016,-429238
2.396,279997,-149432,-429429
2.401,279914,-149679,-429593
2.406,280096,-149257,-429353
2.411,280129,-149004,-429133
2.416,279900,-149431,-429331
2.421,279894,-149659,-429553
2.426,280099,-149253,-429352
2.431,280113,-149033,-429146
2.439,279940,-149413,-429353
2.439,279940,-149413,-429353
2.444,279934,-149589,-429523
2.444,279934,-149589,-429523
2.448,280145,-149154,-429299
2.449,280145,-149154,-429299
2.454,280186,-148917,-429103
2.454,280186,-148917,-429103
2.458,279989,-149321,-429310
2.459,279989,-149321,-429310
2.461,279943,-149602,-429545
2.466,280106,-149263,-429369
2.471,280125,-149049,-429174
2.476,279953,-149428,-429381
2.481,279958,-149620,-429578
2.486,280207,-149175,-429382
2.491,280280,-148909,-429189
2.496,280115,-149317,-429432
2.501,280068,-149588,-429656
2.506,280241,-149187,-429428
2.511,280304,-148930,-429234
2.516,280108,-149337,-429445
2.521,280046,-149565,-429611
2.526,280251,-149143,-429394
2.531,280307,-148876,-429183
2.536,280094,-149273,-429367
2.541,280023,-149551,-429574
2.546,280207,-149156,-429363
2.551,280260,-148922,-429182
2.556,280110,-149305,-429415
2.561,280070,-149530,-429600
2.566,280241,-149147,-429388
2.571,280298,-148918,-429216
2.576,280105,-149299,-429404
2.581,280025,-149524,-429549
2.586,280196,-149141,-429337
2.591,280264,-148885,-429149
2.596,280087,-149280,-429367
2.601,280036,-149567,-429603
2.606,280239,-149149,-429388
2.611,280322,-148838,-429160
2.616,280154,-149211,-429365
2.621,280067,-149482,-429549
2.626,280228,-149102,-429330
2.631,280282,-148839,-429121
2.636,280114,-149225,-429339
2.641,280040,-149532,-429572
2.646,280160,-149220,-429380
2.651,280224,-148937,-429161
2.658,280098,-149268,-429366
2.659,280098,-149268,-429366
2.661,280041,-149531,-429572
2.666,280224,-149157,-429381
2.674,280309,-148888,-429197
2.674,280309,-148888,-429197
2.676,280169,-149251,-429420
2.681,280135,-149475,-429610
2.686,280285,-149060,-429345
2.691,280349,-148759,-429108
2.696,280196,-149129,-429325
2.701,280171,-149307,-429478
2.706,280480,-148663,-429143
2.711,280749,-148094,-428843
2.716,280704,-148373,-429077
2.721,280619,-148663,-429282
2.726,280636,-148410,-429046
2.731,280554,-148305,-428859
2.736,280293,-148817,-429110
2.741,280252,-149156,-429408
2.746,280456,-148826,-429282
2.751,280503,-148600,-429103
2.756,280278,-149059,-429337
2.761,280098,-149440,-429538
2.766,280169,-149207,-429376
2.771,280170,-149032,-429202
2.776,279947,-149489,-429436
2.781,279892,-149778,-429670
2.786,280061,-149389,-429450
2.791,280130,-149127,-429257
2.798,279914,-149574,-429488
2.798,279914,-149574,-429488
2.803,279843,-149867,-429710
2.803,279843,-149867,-429710
2.808,280017,-149480,-429497
2.808,280017,-149480,-429497
2.811,280021,-149260,-429281
2.818,279817,-149682,-429499
2.819,279817,-149682,-429499
2.821,279742,-149969,-429711
2.826,279939,-149654,-429593
2.831,280163,-149468,-429631
2.836,280318,-149736,-430054
2.841,280644,-149279,-429923
2.846,281083,-147575,-428658
2.851,281041,-145481,-426522
2.856,279949,-143325,-423274
2.861,278638,-140984,-419622
2.866,277386,-139620,-417006
2.871,276176,-141180,-417356
2.876,275036,-144506,-419542
2.881,274378,-147570,-421948
2.886,275314,-148997,-424311
2.891,277098,-149234,-426332
2.896,278192,-149724,-427916
2.901,278936,-150059,-428995
2.906,279658,-149721,-429379
2.911,280053,-149460,-429513
2.917,280077,-149814,-429891
2.921,280102,-150092,-430194
2.926,280302,-149771,-430073
2.931,280361,-149541,-429902
2.936,280239,-149917,-430156
2.941,280286,-150125,-430411
2.946,280541,-149694,-430235
2.951,280608,-149438,-430046
2.956,280435,-149795,-430230
2.961,280452,-149979,-430431
2.966,280719,-149558,-430277
2.971,280802,-149304,-430106
2.976,280660,-149669,-430329
2.981,280678,-149874,-430552
2.986,280928,-149460,-430388
2.991,281037,-149171,-430208
2.996,280938,-149478,-430416
3.001,280961,-149690,-430651
3.006,281247,-149268,-430515
3.011,281416,-148925,-430341
3.016,281331,-149222,-430553
3.021,281366,-149414,-430780
3.026,281654,-148961,-430615
3.031,281816,-148635,-430451
3.036,281766,-148927,-430693
3.041,281861,-149124,-430985
3.046,282209,-148669,-430878
3.051,282416,-148342,-430758
3.056,282420,-148596,-431016
3.061,282530,-148716,-431246
3.066,282823,-148199,-431022
3.071,282973,-147786,-430759
3.076,282881,-148031,-430912
3.081,282868,-148206,-431074
3.086,283109,-147701,-430810
3.091,283216,-147276,-430492
3.096,282995,-147572,-430567
3.101,282878,-147836,-430714
3.106,283013,-147450,-430463
3.111,282975,-147225,-430200
3.116,282590,-147802,-430392
3.121,282280,-148240,-430520
3.126,282200,-148018,-430218
3.131,281994,-147966,-429960
3.136,281536,-148602,-430138
3.141,281195,-149121,-430316
3.146,281139,-148937,-430076
3.151,281009,-148812,-429821
3.156,280666,-149345,-430011
3.161,280443,-149783,-430226
3.166,280498,-149549,-430047
3.171,280434,-149415,-429849
3.176,280135,-149910,-430045
3.181,280030,-150189,-430219
3.186,280176,-149859,-430035
3.191,280212,-149630,-429842
3.196,280033,-150006,-430039
3.201,279972,-150289,-430261
3.206,280091,-149964,-430055
3.211,280124,-149717,-429841
3.216,279959,-150062,-430021
3.221,279921,-150306,-430227
3.226,280069,-149973,-430042
3.231,280110,-149787,-429897
3.236,279942,-150172,-430114
3.241,279884,-150444,-430328
3.246,280023,-150118,-430141
3.251,280060,-149865,-429925
3.256,279895,-150201,-430096
3.261,279837,-150451,-430288
3.267,280039,-150056,-430095
3.271,280106,-149788,-429894
3.276,279923,-150166,-430089
3.281,279860,-150444,-430304
3.286,280000,-150077,-430077
3.291,280031,-149819,-429850
3.296,279825,-150238,-430063
3.301,279700,-150583,-430283
3.306,279826,-150231,-430057
3.311,279886,-149926,-429812
3.316,279752,-150246,-429998
3.323,279694,-150516,-430210
3.324,279694,-150516,-430210
3.328,279822,-150192,-430014
3.329,279822,-150192,-430014
3.331,279826,-149991,-429817
3.336,279639,-150370,-430009
3.341,279549,-150641,-430190
3.348,279686,-150280,-429966
3.348,279686,-150280,-429966
3.351,279721,-150038,-429759
3.356,279553,-150425,-429978
3.361,279483,-150709,-430192
3.366,279633,-150378,-430011
3.371,279622,-150159,-429781
3.376,279416,-150558,-429974
3.381,279371,-150834,-430205
3.386,279557,-150472,-430029
3.392,279638,-150208,-429846
3.396,279471,-150592,-430063
3.401,279422,-150844,-430266
3.406,279604,-150440,-430044
3.411,279656,-150171,-429827
3.416,279467,-150578,-430045
3.421,279373,-150917,-430290
3.426,279566,-150546,-430112
3.431,279678,-150194,-429872
3.436,279557,-150517,-430074
3.441,279484,-150848,-430332
3.446,279629,-150552,-430181
3.451,279638,-150323,-429961
3.456,279395,-150718,-430113
3.461,279266,-151027,-430293
3.466,279418,-150685,-430103
3.471,279457,-150440,-429897
3.476,279226,-150874,-430100
3.481,279194,-151136,-430330
3.486,279420,-150712,-430132
3.491,279478,-150417,-429895
3.496,279311,-150780,-430091
3.501,279251,-151072,-430323
3.506,279445,-150698,-430143
3.511,279554,-150389,-429943
3.516,279373,-150764,-430137
3.521,279280,-151068,-430348
3.526,279417,-150749,-430166
3.531,279503,-150498,-430001
3.536,279334,-150884,-430218
3.541,279303,-151110,-430413
3.546,279528,-150684,-430212
3.551,279572,-150421,-429993
3.556,279356,-150826,-430182
3.561,279255,-151175,-430430
3.566,279407,-150849,-430256
3.571,279485,-150567,-430052
3.576,279366,-150864,-430230
3.581,279353,-151094,-430447
3.586,279511,-150733,-430244
3.591,279521,-150445,-429966
3.596,279362,-150750,-430112
3.601,279379,-150910,-430289
3.606,279587,-150472,-430059
3.611,279712,-150030,-429742
3.616,279699,-150135,-429834
3.621,279751,-150291,-430042
3.626,279906,-149949,-429855
3.631,279868,-149752,-429620
3.636,279565,-150278,-429843
3.641,279395,-150716,-430111
3.646,279553,-150459,-430012
3.651,279626,-150272,-429898
3.656,279464,-150642,-430106
3.661,279408,-150935,-430343
3.666,279500,-150694,-430194
3.671,279496,-150538,-430034
3.676,279264,-151007,-430271
3.681,279125,-151379,-430504
3.686,279294,-151010,-430304
3.691,279345,-150726,-430071
3.696,279137,-151121,-430258
3.703,279053,-151433,-430486
3.704,279053,-151433,-430486
3.708,279261,-151054,-430315
3.709,279261,-151054,-430315
